,Movie_Title,Year_of_Release,Director,Genre,Runtime,IMDb_Rating,IMDb_Votes,Metascore,Gross,Plot_Outline
931,Do Anjaane,1976,Director:Dulal Guha,Drama            ,155 min,6.9,443, , ,A man (Amitabh Bachchan) is found wounded on railway tracks and when he awakens he has no memory of who he is and doesn't remember anything about his life. Six years later he is living with...                See full summary »
932,Salaakhen,1998,Director:Guddu Dhanoa,"Action, Drama            ",165 min,5.4,441, , ,"When an honest school teacher testifies in a rape case against a prominent businessman's son, he is psychologically tortured and forced to commit suicide. His young son then takes the law into his own hands in order to avenge his father."
933,Hulchul,1995,Director:Anees Bazmee,"Action, Romance, Comedy            ",152 min,4.6,441, , ,"A troubled ACP adopts a young poor child named Deva whose mother and father died. When he grows up, he helps his adopted father as a police officer and ACP to solve various crimes around ...                See full summary »"
934,Anupama,1966,Director:Hrishikesh Mukherjee,"Drama, Romance            ",148 min,7.4,441, , ,"Mohan Sharma (Tarun Bose) is a workaholic, whose life changes dramatically after his wife dies upon giving birth to their daughter Uma (Sharmila Tagore). He despises the daughter by day, ...                See full summary »"
935,Rangrezz,2013,Director:Priyadarshan,"Action, Comedy, Drama            ",144 min,5.1,440, ,$0.01M,"Three friends who come together to help a fourth friend elope with his lover, come together once again to teach the couple a lesson, when they part away."
936,Namkeen,1982,Director:Gulzar,"Drama, Family            ",112 min,7.6,440, , ,"Namkeen revolves around Jugni, a folk theatre dancer who lives with her three daughters in a remote village, and how their lives change when a truck driver, begins living with them as a tenant."
937,Dil Juunglee,2018,Director:Aleya Sen,"Comedy, Romance            ",124 min,3.7,439, , ,The movie is a romantic comedy that displays the ups and downs in Sumit and Karol's relationship.
938,PremGranth,1996,Director:Rajiv Kapoor,"Action, Drama, Musical            ",156 min,5.7,439, , ,"Professionally qualified as a lawyer, Somen lives a wealthy lifestyle with his mom, Parvati, and dad, Dharam Bhushan, who presides over the town of Shripuri as an upper caste Hindu Priest. ...                See full summary »"
939,The Angrez,2005,Director:Kuntaa Nikkil,Comedy            ,110 min,7.3,438, , ,Two Non-resident Indians Pranai and Rochak come to Hyderabad to take up jobs in their friend's company and settle in Hyderabad and get caught up with local gangsters.
940,Aap Ki Kasam,1974,Director:J. Om Prakash,"Romance, Drama            ",153 min,7,438, , ,Rajesh Khanna plays Mumtaz's jealous husband who begins to doubt her fidelity when his best friend Sanjeev Kumar enters their lives. She is unable to convince Rajesh Khanna that she loves ...                See full summary »
941,Yalgaar,1992,Director:Feroz Khan,"Action, Drama, Thriller            ",192 min,5.4,437, , ,Childhood friends became enemies when one Mahendra Ashwini Kumar grows up to be Additional Police Commissioner and the other Raj Pratap Singhal becomes a smuggler. Mahendra have two sons ...                See full summary »
942,Narasimha,1991,Director:N. Chandra,"Action, Drama            ",214 min,5.5,437, , ,"With the help of his strongest henchman; Narasimha, Baapji eliminates his enemies from the city. But what happens when the sleeping morals of your toughest ally awaken, and he not only opposes you, but aligns with your enemy?"
943,Taqdeerwala,1995,Director:K. Muralimohana Rao,"Action, Comedy, Fantasy            ",162 min,6.5,436, , ,A simpleton Suraj stays in a small house with his widowed mother his friend Pandu and a Gopalji when he was a kid his family owned a huge place known as Swarna palace which went into ...                See full summary »
944,Mahaan,1983,Director:S. Ramanathan,"Action, Comedy, Drama            ",181 min,6.1,436, , ,"A lawyer goes into hiding after being falsely accused of committing a crime while his wife gives birth to twins. One of the twins is separated at birth, while the other twin grows up to become an inspector who is on his father's trail."
945,Akayla,1991,Director:Ramesh Sippy,"Action, Drama, Thriller            ",180 min,5.1,435, , ,Inspector Vijay Verma is a very lonely cop whose only family is a younger brother Ajay Verma who is studying abroad. He also has two good friends Shekhar and Seema. One day when he arrests ...                See full summary »
946,Aksar 2,2017,Director:Ananth Narayan Mahadevan,"Crime, Drama, Mystery            ",127 min,3.6,434, , ,A husband's plan to break up his marriage so that he can be with another woman backfires with unexpected consequences.
947,Rise of the Zombie,2013,"Directors:Luke Kenny,Devaki Singh","Drama, Horror, Thriller            ",86 min,3.5,434, , ,"A heartbroken wildlife photographer throws himself into his work, only to find himself experiencing strange transformations."
948,Farz,2001,Director:Raj Kanwar,"Action, Thriller            ", ,4.3,433, , ,"ACP Arjun Singh and his brother-in-law, Tayaji are with the police force but when Tayaji is assassinated on duty Arjun's family feels devastated by his death. Soon, Gawa Firozi and his brother Sikander start to terrorize the city."
949,Hope Aur Hum,2018,Director:Sudip Bandyopadhyay,"Comedy, Drama, Family            ",96 min,6.3,432, , ,"A father obsessed with an old school copying machine wreaks havoc on the family, causing a change in their relationships. Explores the life of each family member and how their lives are intertwined with each other."
950,Lathi,1988,"Directors:Hrishikesh Mukherjee,Sandip Mukherjee",Drama            , ,6,401, , ,Add a Plot
951,Halkaa,2018,Director:Nila Madhab Panda,"Drama, Family            ",114 min,7.2,400, , ,"Halkaa (Relief) is a unique take on a slum child's heroism, aspirations and dreams. The child protagonist, Pichku fights for the basic problem that he faces everyday; defecating in the open among others."
952,Journey Bombay to Goa: Laughter Unlimited,2007,Director:Raj Pendurkar,"Action, Adventure, Comedy            ",138 min,4.7,399, , ,"After learning a secret of a treasure from a runaway criminal, a group of tourists embarks on journey to find the hidden treasure from Bombay to Goa."
953,Depth of Pyaar,2019,"Directors:Mukesh Asopa,Charles Ross","Crime, Drama, Family            ",93 min,7.2,398, , ,"A film about two brothers - Yash is a charismatic young lawyer frustrated in his pursuit of justice, while Ansh is a social recluse due to his medical limitations - and how their lives are ...                See full summary »"
954,Mukhbiir,2008,Director:Mani Shankar,"Crime, Drama, Mystery            ",132 min,6.9,397, , ,A youth is compelled by police to infiltrate gangs and terrorist groups.
955,Mrityudaata,1997,Director:Mehul Kumar,"Action, Drama, Musical            ",158 min,2.7,394, , ,Dr Ram Prasad Ghayal (Amitabh) is a surgeon whose scalpel proves to be a magic wand. He has a wife called Janaki (Dimple) and a brother called Bharat. Bharat is in love with a dancing doll ...                See full summary »
956,Dear Dad,2016,Director:Tanuj Bhramar,"Drama, Family            ",95 min,6.3,393, , ,"Dear Dad is a bittersweet coming of age story; involving a father-son duo 14 year old Shivam, and his 45 year old dad Nitin Swaminathan. The father-son duo embarks on an impromptu road trip...                See full summary »"
957,Guru Sishyan,1988,Director:S.P. Muthuraman,"Action, Comedy            ",139 min,7.1,393, , ,"On their release from prison, two criminals join forces to prove the innocence of a wrongfully convicted fellow prisoner and in the process, also learn the truth about their own missing parents."
958,Lovefucked,2018,Director:Aadish Keluskar,"Drama, Romance            ",106 min,5.9,392, , ,"A couple's caustic, increasingly jarring interactions over a Mumbai evening strain their relationship until it threatens to break at its fraying seams."
959,Aagey Se Right,2009,Director:Indrajit Nattoji,"Comedy, Crime, Drama            ",117 min,5,392, , ,"Spurred on by his pushy mother, Kanta, slacker Dinkar Waghmare, infatuated with TV Reporter, Soniya Bhatt, is compelled to join the Mumbai Police Force as a Sub-Inspector and follow in his ...                See full summary »"
960,Love Story,1981,"Directors:Rajendra Kumar,Rahul Rawail","Drama, Musical, Romance            ",161 min,6.5,392, , ,"Vijay is a wealthy Builder who loves Suman while Ram a civil engineer also loves Suman who were college friends,Vijay gets jealous of Ram and Suman's friendship and leaves her marrying ...                See full summary »"
961,Through the Eyelashes,1978,Director:Hiren Nag,"Drama, Family, Romance            ",135 min,7.1,392, , ,"A young man must deal with a broken engagement ceremony, while his to-be fiancée waits to be treated for blood cancer."
962,Raag Desh,2017,Director:Tigmanshu Dhulia,"Action, Drama, History            ",135 min,8.1,391, , ,A period film based on the historic 1945 Indian National Army Red Fort Trials.
963,Nayee Padosan,2003,Director:B.H. Tharun Kumar,Comedy            ,136 min,5.4,391, , ,"Three young men, who are all of a marriageable age, get their hopes up on marriage, when a beautiful young woman comes to live in their neighbourhood. All three of them try a hand at romancing her, and only one succeeds."
964,Gang of Ghosts,2014,Director:Satish Kaushik,"Comedy, Horror            ",128 min,3.6,389, , ,"A group of ghosts reside in an old house and live in harmony despite cultural differences. However, when they learn that a builder plans to demolish the building, they come together to stop him."
965,Raja Ki Ayegi Baraat,1997,Director:Ashok Gaekwad,"Drama, Romance            ",158 min,3.7,389, , ,"A pretty schoolteacher named Mala (Rani Mukherjee) becomes the victim of the unwanted advances of an evil man named Raja (Shadab Khan). When she rejects him, he rapes her. The teacher then ...                See full summary »"
966,Jalpari: The Desert Mermaid,2012,Director:Nila Madhab Panda,"Drama, Family, Mystery            ",94 min,7.1,388, , ,"When they travel to their father's ancestral village, city kids expecting a natural paradise instead find a poor, dusty town that harbors secrets."
967,Doraemon The Movie: Nobita's Great Battle of the Mermaid King,2010,Director:Kôzô Kusuba,"Animation, Adventure, Comedy            ",99 min,6.6,388, , ,"Doraemon, Nobita, and their Friends must aid Sophia to find a legendary Sword that might bring peace once again to the Seas."
968,Brahmachari,1968,Director:Bhappi Sonie,"Comedy, Drama, Musical            ",157 min,6.8,388, , ,"Abandoned as a child, Brahmachari lives in a mortgaged house with twelve young orphans. He saves a woman from dying and she changes his life forever. But first she has to deal with her own affairs."
969,Jung,2000,Director:Sanjay Gupta,"Action, Crime, Drama            ",147 min,4.2,387, , ,A police officer is in a frantic search for a compatible bone-marrow donor for his gravely-ill son. The only match is a convicted vicious killer who is now on the run. All he has to do is catch him.
970,Kunwara Baap,1974,Director:Mehmood,"Comedy, Drama            ",137 min,7.1,387, , ,A poor rickshaw-puller adopts an abandoned child and brings him up as his son but tragedy strikes when the boy becomes crippled as a result of polio infection.
971,Ankahee,2006,Director:Vikram Bhatt,"Biography, Drama, Romance            ",151 min,4.1,386, , ,A dangerous beauty queen sinks her claws into the life of a married doctor and his family.
972,Toh Baat Pakki!,2010,Director:Kedar Shinde,"Comedy, Drama            ",122 min,5.1,385, , ,"A pushy busybody invites a young man to be her tenant, in hopes of arranging a marriage for her younger sister; but then has to get rid off him when she believes she has found an even better match."
973,Swami,2007,Director:Ganesh Acharya,Drama            ,140 min,6.8,385, , ,"Swami, Radha and their kid shift to Mumbai after selling off their ancestral home in a village. In Mumbai, they get their kid admitted to a school that's patronized by children belonging to...                See full summary »"
974,Bittoo Boss,2012,Director:Supavitra Babul,Romance            ,116 min,4.1,384, , ,"Bittoo Boss' is a young charming, ingenious and a fun filled wedding cameraman who takes pride in calling himself a ""Sesky Video Shooter"". He is the star of all wedding celebrations of ...                See full summary »"
975,Zokkomon,2011,Director:Satyajit Bhatkal,"Action, Adventure, Family            ",109 min,4,384, , ,"An orphan is abused and abandoned, believed to be dead, and upon his return is first feared as a ghost, and then projected as a superhero."
976,Tujhe Meri Kasam,2003,Director:Vijay K. Bhaskar,Romance            ,155 min,6.4,384, , ,Rishi and Anju are childhood buddies struggle to find out if they have more than friendship between them.
977,Khud-Daar,1982,Director:Ravi Tandon,"Action, Drama            ",169 min,6.9,384, , ,"Hari R. Srivastav lives a middle-class life in rural India with two step-brothers, Govind and Rajesh. Circumstances compel him to get married to Seema, who dislikes Govind and Rajesh. When ...                See full summary »"
978,The Violin Player,2015,Director:Bauddhayan Mukherji,"Drama, Music            ",72 min,6.9,383, , ,"The Violin Player is the story of one day in the life of a Bollywood session violinist who finds expression in an unlikely place. The day unfolds to reveal startling truths about music, art, life and survival."
979,Thanedaar,1990,Director:Raj N. Sippy,"Action, Crime, Drama            ",151 min,5.6,383, , ,"A policeman is killed in a brawl - one of his boys is adopted by another policeman, the other whisked away and brought up by bandits. Years later, the boys meet-again on opposite sides of the law."
980,Khel Khel Mein,1975,Director:Ravi Tandon,"Comedy, Mystery, Romance            ",139 min,7.5,382, , ,Three youngsters play a prank on a wealthy jeweller but later find themselves framed for murder by a mysterious criminal.
981,3 Storeys,2018,Director:Arjun Mukerjee,Drama            ,100 min,6.9,381, , ,"""3 Storeys"" is an intriguing film full of twists and turns. Over the course of 3 acts, dark secrets and past regrets are revealed, and it becomes clear that life in this small community is ...                See full summary »"
982,Khauff,2000,Director:Sanjay Gupta,"Action, Crime, Drama            ",124 min,4.4,381, ,$0.08M,"An assassin is sent to kill the witness from testifying against the killers. In the process, the assassin falls in love with the witness."
983,Vidhaata,1982,Director:Subhash Ghai,"Action, Drama            ",168 min,7.2,381, , ,"When Kunal decides to avenge Abu Baba's death, he discovers his grandfather's true identity and the reason behind his father's death."
984,Nastik,1983,Director:Pramod Chakravorty,"Action, Drama            ", ,5.5,380, , ,A devout Hindu priest's son sees his father murdered and his mother and sister burned alive. He becomes an atheist and vows to avenge his family's murders at the hands of an evil landowner and smuggler.
985,Bhopal Express,1999,Director:Mahesh Mathai,Drama            ,100 min,7.1,379, , ,"A newlywed couple's lives are changed during the lethal gas tragedy in Bhopal, India in 1984."
986,Turning 30!!!,2011,Director:Alankrita Shrivastava,"Comedy, Drama, Romance            ",121 min,5.2,378, , ,"Naina grapples with heartbreak and a crisis in her advertising career, while facing her 30th birthday."
987,Help,2010,Director:Rajeev Virani,"Horror, Thriller            ",109 min,4.2,378, , ,An unhappily married pregnant woman suspects her vengeful deceased twin has returned from the dead.
988,Rolling in Money,1988,Director:Kawal Sharma,Comedy            ,139 min,6.9,378, , ,"A slum dweller discovers that his grandfather has left a property of 330 billion rupees for him, but he can own it only if he is able to spend 30 billions in 30 days."
989,Ghar Ho To Aisa,1990,Director:Kalpataru,Drama            ,155 min,6,378, , ,"The Kumar family consists of Ramprasad, his wife, Durga; their married son, Vijay, his wife, Sharda, their daughter, Pinky; a married daughter who lives with them, Kanchan, her husband, ...                See full summary »"
990,Utsav,1984,Director:Girish Karnad,"Drama, Music, Romance            ",145 min,6.9,378, , ,"Based on the circa 2nd century BCE to 2nd Century CE, Sanskrit play ""Daridra-Charudatta"" by the famous Indian playwright Bhasa, ""Utsav"" faithfully follows Bhasa's story-line. Vasantasena, a...                See full summary »"
991,Autohead,2016,Director:Rohit Mittal,"Crime, Drama            ",97 min,5.9,377, , ,"A documentary crew starts to make a documentary about an Auto Rickshaw driver in Mumbai. As they dig deeper into his life they discover angst, sexual frustration and paranoia that leads to a terrible end."
992,Daddy Cool: Join the Fun,2009,Director:K. Muralimohana Rao,"Comedy, Drama            ",102 min,3.8,377, , ,"Wealthy Goa-based Income Tax Officer Douglas Lazarus passes away after exercising on his treadmill at a speed of 10.5. A funeral is arranged, relatives are notified, and his eldest ...                See full summary »"
993,Raat Baaki Hai,2021,Director:Avinash Das,"Drama, Thriller            ",100 min,5.3,377, , ,"It's a story of one night where estranged lovers Kartik and Vasuki end up meeting each other after 12 years under strange circumstances. Kartik is on a run for being a murder suspect. However, there is more than meets the eye."
994,Agnivarsha: The Fire and the Rain,2002,Director:Arjun Sajnani,"Drama, Fantasy, Romance            ",126 min,4.6,377,57,$0.03M,"In a draught-stricken kingdom, two rival priests, Yavakri and Parvasu, try to appease the rain god through their respective methods that lead to adultery, treachery, and murder."
995,Baankey Ki Crazy Baraat,2015,Director:Aijaz Khan,Comedy            ,138 min,6.2,376, , ,"It's a quirky situational comedy that tickles your funny bone, unexpectedly. The ensemble cast of actors that creates a laugh riot, that escalates in to a hangama ~ that will leave you ...                See full summary »"
996,Safar,1970,Director:Asit Sen,"Drama, Romance            ",137 min,7.2,376, , ,"Neela and Avinash are medical students, and are attracted to each other. But Avinash is poor and wants Neela to live a comfortable life. When Neela, who tutors Monto Kappor, meets his elder...                See full summary »"
997,Aag,1948,Director:Raj Kapoor,"Musical, Romance            ",138 min,7.4,375, , ,"Failing to move on from his loss of childhood love, a man turns to his passion for theater."
998,Khoon Pasina,1977,Director:Rakesh Kumar,"Action, Drama            ",210 min,6.2,374, , ,"Professor Rahim together with his friend, Ram lodges a police complaint after witnessing gangster, Zaalim Singh beating up a man. In retaliation; Zaalim Singh instructs his men to create ...                See full summary »"
999,Doraemon: Nobita and the Kingdom of Clouds,1992,Director:Tsutomu Shibayama,"Animation, Adventure, Comedy            ",97 min,7,373, , ,"Nobita and his friends enjoyed playing in the Kingdam of Clouds which was made by Doraemon's tool. But before they knew it, they wandered into the another clouds which extinct animals lived. ""Sky human"" explain they protected the animals."
1000,Naseeb,1998,Director:Kirti Kumar,"Comedy, Drama, Romance            ",138 min,5.3,349, , ,"Poor Krishna Prasad and Pooja are in love and would like to marry each other. But Pooja's dad, Din Dayal, wants her to marry a wealthier man, and rejects Krishna. Krishna agrees to acquire ...                See full summary »"
1001,Lekin...,1990,Director:Gulzar,"Drama, Fantasy, Musical            ",171 min,7.5,349, , ,"Samir Niyogi lives in India and is assigned by the Government to travel to Rajasthan, evaluate a princely castle that once belonged to Raja Param Singh, take stock of all items, the ...                See full summary »"
1002,Dobaara: See Your Evil,2017,Director:Prawaal Raman,"Horror, Mystery            ",106 min,3.7,348, , ,Siblings Natasha and Kabir Merchant investigate an allegedly haunted mirror in their parents' home in this official adaption of 'Oculus'.
1003,Mumbai Delhi Mumbai,2014,Director:Satish Rajwade,"Comedy, Romance            ",120 min,5.7,348, , ,"In Delhi for the first time, a Mumbai girl loses her phone but gets a surprise chance at true love with a local boy who begrudgingly helps her."
1004,Doraemon: Nobita and the Winged Braves,2001,Director:Tsutomu Shibayama,"Animation, Action, Adventure            ",95 min,6.9,348, , ,"Doraemon, Nobita and friends help the humanoid birds of Birdopia to stop Seagrid from awakening Phoenicia a Dragon like Monster Which can bring an End to Both Birdopia and Human World."
1005,Pyaar Diwana Hota Hai,2002,"Stars:Rani Mukerji,Govinda,Om Puri,Laxmikant Berde","Comedy, Drama, Romance            ",148 min,3.9,348, , ,A villager pretends to be disabled in order to be near an NRI (Non-Resident Indian).
1006,Sir,1993,Director:Mahesh Bhatt,"Crime, Drama, Romance            ",151 min,6.2,348, , ,"Bombay-based Professor Amar Verma lives a middle-class lifestyle with his wife, Shobha, and 6 year old son, Kunal. When a gang-war breaks out between Veljibhai and Chhapan Tikle alias Jimmy...                See full summary »"
1007,?: A Question Mark,2012,"Directors:Allyson Patel,Yash Dave","Horror, Mystery, Thriller            ",82 min,5.7,347, , ,"A group of friends went to shoot their film project, but never returned. A few days later, their camera was found."
1008,Strangers,2007,Director:Aanand L. Rai,"Drama, Romance, Thriller            ",100 min,4.9,347, , ,"An overnight train journey, from London into France, business class, is comfortable and expensive. The premise where two of the film's protagonists,'strangers' to each other, meet, talk and...                See full summary »"
1009,James,2005,Director:Rohit Jugraj,"Action, Romance            ", ,3.7,346, , ,A story of a young man's quest to avenge the death of his older brother.
1010,Mr. Bechara,1996,Director:Bhagyaraj,Comedy            ,140 min,5.4,346, , ,"MR. BECHERA (Anil Kapoor) is a shy printer and, since the passing of his wife, a single father to his infant son--but his quiet life is shattered by the schemes of Dr. Dayanand (the ...                See full summary »"
1011,An Evening in Paris,1967,Director:Shakti Samanta,"Musical, Romance, Thriller            ",168 min,6.9,346, , ,"In romantic Paris, two Parisians of Indian origin are in love namely Shyam or Sam and Roopa. Mystery and intrigue surround this romance, as Roopa is abducted and held by criminal mastermind...                See full summary »"
1012,Bulbul Can Sing,2018,Director:Rima Das,Drama            ,95 min,6.9,344, , ,"Exploring their sexual identities in the face of the patriarchal rules of their Assamese village, a teenager and her two friends are rocked by tragedy."
1013,Milan Talkies,2019,Director:Tigmanshu Dhulia,"Drama, Romance            ",141 min,5,344, , ,"Anirudh aka Anu along with his friends, he makes local movies and also runs a gang that lets students cheat in exams. His life changes completely when he meets Maithili, whose father hires Anu to help her clear her exams."
1014,Ek: The Power of One,2009,Director:Sangeeth Sivan,"Action, Drama, Thriller            ",140 min,4.6,344, , ,"A gunman for hire is framed for murder, and assumes a dead man's identity while hiding from the police."
1015,Charas: A Joint Effort,2004,Director:Tigmanshu Dhulia,"Action, Crime, Thriller            ",140 min,5.3,343, , ,"A police officer gets embroiled in a deadly game with drug mafia, while searching for his long lost friend from London."
1016,Pehla Nasha,1993,Director:Ashutosh Gowariker,"Mystery, Romance, Thriller            ",131 min,4.9,343, , ,"A down and out actor, Deepak Bakshi (Deepak Tijori), who has a phobia and deep fear of enclosed spaces, goes to live as a care-taker in an multi-storied apartment, belonging to his friend ...                See full summary »"
1017,Alaap,1977,Director:Hrishikesh Mukherjee,"Drama, Musical            ",160 min,6.7,343, , ,"Alok goes against his father's wishes by choosing music over law studies and leaves the house to pursue his dream. However, his authoritarian father is hell-bent on foiling his efforts."
1018,Zameer,2005,Director:Kamal,"Drama, Romance            ",137 min,3,341, , ,"A spoiled brat gets married to her professor despite several challenges. Soon after, he learns that his wife was responsible for the separation of his former girlfriend and he leaves her, never to return."
1019,Eena Meena Deeka,1994,Director:David Dhawan,"Action, Comedy, Crime            ",133 min,4.7,339, , ,"Two con-men, Inder alias Eena and Deeka has an encounter in a bank. Eena commit the crime but because of Deeka's bad record with the police they are misunderstood and thus Deeka gets a long...                See full summary »"
1020,Hum Kaun Hai?,2004,Director:Ravi Sharma Shankar,"Horror, Drama, Mystery            ",119 min,3.7,338, , ,Sandra Williams lives in an isolated house with her kids Sarah and David.While her husband Frank being a army man is away from the house in the war zone. Sandra writes a letter to ...                See full summary »
1021,Superman,1987,Director:B. Gupta,"Action, Adventure, Sci-Fi            ",123 min,4.4,338, , ,"A young baby from the doomed planet Krypton is sent to Earth, where he is adopted by an elderly couple in India who name him Shekhar. After growing to an adult and learning about his ...                See full summary »"
1022,Click,2010,Director:Sangeeth Sivan,"Drama, Horror, Mystery            ",127 min,3.6,337, , ,A photographer and his girlfriend enter a nightmarish world after they run over a woman.
1023,Miss Tanakpur Haazir Ho,2015,"Directors:Kapri Vinod,Anup Das","Comedy, Crime, Family            ",154 min,5.4,336, , ,Miss Tanakpur is a political satire that unfolds in the backdrop of a Love-story set in a village of Haryana. In the villages of Haryana the Pradhans in general have insurmountable powers. ...                See full summary »
1024,Doraemon: Nobita in the Wan-Nyan Spacetime Odyssey,2004,Director:Tsutomu Shibayama,"Animation, Adventure, Comedy            ",89 min,7.1,336, , ,Nobita find a Place for abandoned Cats and Dogs to live in 3 million year ago. He and his Friends go to the Kingdom of Cats and Dogs again after a Thousand Years.
1025,Dassehra,2018,"Directors:Manish Vatssalya,Saurabh Choudhary","Action, Thriller            ",131 min,3.8,334, , ,It's a story of an honest police officer who is trapped under adverse circumstances. It's is a political thriller driven by crime and politics. The film revolves around the background of a ...                See full summary »
1026,Teen Thay Bhai,2011,Director:Mrighdeep Lamba,"Comedy, Drama            ", ,4.2,334, , ,"In order to inherit a mansion, three squabbling brothers must fulfill their late grandfather's wishes."
1027,Haqeeqat,1995,Director:Kuku Kohli,"Action, Drama, Romance            ",166 min,4.6,334, , ,"After her husband, Ravi Malhotra, is killed, Sudha lives the life of a widow with her brother, Mahesh, and Bhabhi, Kamini. A new tenant, Ajay, comes to her rescue when she is molested by ...                See full summary »"
1028,Khullam Khulla Pyaar Karen,2005,Director:Harmesh Malhotra,Comedy            ,155 min,4.1,333, , ,"International Criminal Don, Supremo, alias Trikal Anna is concerned when he hears that two of his trusted lieutenants are at war with each other. So he decides to travel to India to settle ...                See full summary »"
1029,Kudrat,1981,Director:Chetan Anand,"Drama, Mystery, Romance            ",164 min,6.9,333, , ,"Chandramukhi visits Shimla and learns that she is a reincarnation of Paro, a girl who was raped and murdered. Plagued by her dark past, she attempts to bring the culprits to justice."
1030,Krishna,1996,"Directors:S. Deepak,Deepak S. Shivdasani","Action, Drama, Romance            ",156 min,4.7,333, , ,"A convict freshly out of prison is given an undercover name ""Krishna"" and the task to bring down a drug kingpin and his cartel."
1031,Pukar,1983,Director:Ramesh Behl,"Action, Drama, Musical            ",161 min,5.9,333, , ,"Although India obtained freedom from the British in 1947, Goa and it's territories are still ruled by the Portuguese. A group of revolutionaries want a free Goa and are thus wanted by the ...                See full summary »"
1032,Pran Jaaye Par Shaan Na Jaaye,2003,Director:Sanjay Jha,"Comedy, Drama            ",137 min,6.2,332, , ,Aman Joshi (Aman Verma) is on a research assignment. His subject is the chawl dwellers in Bombay City. He rents a small tenement there and talks to the people living there. He soon gets ...                See full summary »
1033,Doraemon: Nobita's Great Adventure in the South Seas,1998,Director:Tsutomu Shibayama,"Animation, Adventure, Comedy            ",100 min,7,331, , ,"Nobita coaxes his friends to join him for a treasure hunt but an eerie event transports them to the past. However, their hunt for treasure is not easy as they come face-to-face with pirates."
1034,Hijack,2008,Director:Kunal Shivdasani,"Action, Thriller            ",117 min,3.8,331, , ,"After the passing away of his wife, Pooja, Delhi-based Vikram Madan, enrolls his daughter, Priya, in a boarding school in Amritsar, and re-locates to work as a Mechanic at Chandigarh ...                See full summary »"
1035,Kabuliwala,1961,Director:Hemen Gupta,Drama            ,95 min,7.8,331, , ,"A poor Afghani leaves his family behind to earn a living as a dried fruit vendor in India. Profoundly homesick, he befriends a young girl who reminds him of his own daughter. Meanwhile, the locals are distrustful of all foreigners."
1036,Banaras,2006,Director:Pankaj Parashar,"Musical, Drama            ",122 min,6.1,330, , ,A mystic love story... between two people of different castes... set in the oldest living city on Earth...
1037,Tahalka,1992,Director:Anil Sharma,"Action, Adventure, Thriller            ",168 min,5.7,330, , ,"While on a yacht trip along with this daughter, Dolly, Indian army Major Krishna Rao, observes a girl in distress and goes to rescue her. He ends up rescuing dozens of girls, who have been ...                See full summary »"
1038,The Song of Scorpions,2017,Director:Anup Singh,Drama            ,119 min,5.9,329, , ,"A story of twisted love, revenge and the redemptive power of a song."
1039,Island City,2015,Director:Ruchika Oberoi,Drama            ,108 min,6.7,329, , ,"A collection of three comic-dramatic stories set in Mumbai. The first is about a diligent office worker who wins the office 'Fun Committee Award', which entitles him to a whole day full of ...                See full summary »"
1040,Yeh Vaada Raha,1982,Director:Kapil Kapoor,"Romance, Musical, Drama            ",138 min,7.2,329, , ,Sunita is a radio singer while on vacation in Kashmir Vikram deeply falls in love with and proposes her which she eventually accepts.Vikram introduces Sunita to her mother Sharda Rai ...                See full summary »
1041,Doraemon: Nobita and the Island of Miracles ~Animal Adventure~,2012,Director:Kôzô Kusuba,"Animation, Action, Adventure            ",100 min,6.8,328, , ,"Nobita and Doraemon use time tree Mochi and catches a big bird Moa, which has been extinct for 500 years ago. To protect extinct the animal, Nobita and Doramon go to Beremon Island which is...                See full summary »"
1042,Doraemon: Nobita to robotto kingudamu,2002,Director:Tsutomu Shibayama,"Animation, Adventure, Family            ",80 min,6.8,328, , ,Doraemon and friends travels into another world via the time machine; where humans and robots are living together. However they soon find out that the Empress of Robot Kingdom was trying to...                See full summary »
1043,Barsaat Ki Ek Raat,1981,Director:Shakti Samanta,"Romance, Thriller            ",142 min,6.3,328, , ,"Rajini, a blind woman, marries Abhijit, an inspector, after he puts a violent thug named Kaliram behind bars. However, their married life later turns into a nightmare when Kaaliram is released."
1044,Faraar,1975,Director:Shankar Mukherjee,"Action, Crime, Drama            ",136 min,6.9,328, , ,"When two lovers separated due to financial circumstance are reunited several years later under one roof, sparks fly and emotions run high. How will they resolve this relationship?"
1045,Julie 2,2017,Director:Deepak S. Shivdasani,"Drama, Romance, Thriller            ",159 min,2.3,327, , ,"A simple girl rises to be a big star, but the story of her success is not without its dark side."
1046,Hari Puttar: A Comedy of Terrors,2008,"Directors:Rajesh Bajaj,Lucky Kohli","Comedy, Drama, Family            ",90 min,1.9,327, , ,"Inadvertently left at home by adults, young cousins face-off against burglars."
1047,Amavas,2019,Director:Bhushan Patel,"Horror, Thriller            ",134 min,2.8,326, , ,"The lives of a couple turn into a nightmare, as dark forces lie in wait beneath the shadows of the haunted bungalow in which they have decided to stay."
1048,Bandh Darwaza,1990,"Directors:Shyam Ramsay,Tulsi Ramsay","Action, Drama, Horror            ",145 min,5.2,326, , ,"A wealthy male banishes a demon, but years later his very own daughter resurrects it."
1049,Aryan: Unbreakable,2006,Director:Abhishek Kapoor,"Action, Drama, Sport            ",135 min,4.4,325, , ,"Aryan, a young boxer, gives up the sport after he marries his sweetheart. However, years later, circumstances force him to revive his career and win back the respect of his loved ones."
